,Channel1,Channel2,VoltNum,Trails,leftorright,miceStrain,miceNum,elePosition,ledNum,otherTags
0,0.03937248571927678,0.010614131074578788,2.60,1,left,thy1,26,C7,led8,1
1,0.034210823915064636,0.00485542818104486,2.60,2,left,thy1,26,C7,led8,1
2,0.07133588627885616,0.006508523021790801,2.60,3,left,thy1,26,C7,led8,1
3,0.2259460591668591,0.016299208867909067,2.70,1,left,thy1,26,C7,led8,1
4,0.11416585661041158,0.007059164509070755,2.70,2,left,thy1,26,C7,led8,1
5,0.06505434934215851,0.004224464393251842,2.70,3,left,thy1,26,C7,led8,1
6,0.21065914654829396,0.06183711876587336,2.80,1,left,thy1,26,C7,led8,1
7,0.06217278033988192,0.05864081968716852,2.80,2,left,thy1,26,C7,led8,1
8,0.647505800549135,0.0284525686510758,2.80,3,left,thy1,26,C7,led8,1
9,0.11661778440296802,0.10211662353770241,2.90,1,left,thy1,26,C7,led8,1
10,0.23671315533063833,0.10485486269881232,2.90,2,left,thy1,26,C7,led8,1
11,0.06993270143155753,0.09326282448843545,2.90,3,left,thy1,26,C7,led8,1
12,0.07094162778423416,0.17961507726394746,3.00,1,left,thy1,26,C7,led8,1
13,0.12345538691358397,0.18123817881270896,3.00,2,left,thy1,26,C7,led8,1
14,0.059678783722385685,0.17260779870562953,3.00,3,left,thy1,26,C7,led8,1
15,0.26887052623909824,0.20371368386273067,3.10,1,left,thy1,26,C7,led8,1
16,0.046252288349502194,0.20896494743410876,3.10,2,left,thy1,26,C7,led8,1
17,0.3925216519021615,0.1982108563491856,3.10,3,left,thy1,26,C7,led8,1
18,0.13248214364724867,0.2375006740170538,3.20,1,left,thy1,26,C7,led8,1
19,0.1113069079733097,0.2398946063805825,3.20,2,left,thy1,26,C7,led8,1
20,0.10557900432797093,0.22879402089783604,3.20,3,left,thy1,26,C7,led8,1
21,0.1904293401373542,0.2453983093415518,3.30,1,left,thy1,26,C7,led8,1
22,0.20339176436762535,0.2249377761665073,3.30,2,left,thy1,26,C7,led8,1
23,0.20400609987885665,0.21570574198703749,3.30,3,left,thy1,26,C7,led8,1
24,0.08092825119818944,0.011736168229809675,2.60,1,left,thy1,26,C7,led8,2
25,0.07156969465089044,0.005515697339845988,2.60,2,left,thy1,26,C7,led8,2
26,0.06875277244547356,0.006834410448529882,2.60,3,left,thy1,26,C7,led8,2
27,0.07517807103421884,0.00783175391421039,2.70,1,left,thy1,26,C7,led8,2
28,0.057141186802903185,0.011884081725095398,2.70,2,left,thy1,26,C7,led8,2
29,0.060414403255345486,0.008507963505948643,2.70,3,left,thy1,26,C7,led8,2
30,0.07883820601306865,0.07590622545870818,2.80,1,left,thy1,26,C7,led8,2
31,0.08123472311341483,0.08020053691537278,2.80,2,left,thy1,26,C7,led8,2
32,0.05460032683927567,0.07953510928974482,2.80,3,left,thy1,26,C7,led8,2
33,0.08141479374617892,0.15009349587388526,2.90,1,left,thy1,26,C7,led8,2
34,0.07246657544851547,0.14814061028234474,2.90,2,left,thy1,26,C7,led8,2
35,0.06612808209126214,0.14356817671838312,2.90,3,left,thy1,26,C7,led8,2
36,0.0810714266785419,0.24983636071026413,3.00,1,left,thy1,26,C7,led8,2
37,0.08036159593494617,0.26069142016731994,3.00,2,left,thy1,26,C7,led8,2
38,0.08232929659648267,0.24593724827552552,3.00,3,left,thy1,26,C7,led8,2
39,0.08541959068272595,0.28929025710556283,3.10,1,left,thy1,26,C7,led8,2
40,0.07854571074753187,0.289967397944508,3.10,2,left,thy1,26,C7,led8,2
41,0.13878676908771706,0.26558087552998394,3.10,3,left,thy1,26,C7,led8,2
42,0.03773287434544854,0.3361837896327918,3.20,1,left,thy1,26,C7,led8,2
43,0.03994342758645181,0.3220914202124958,3.20,2,left,thy1,26,C7,led8,2
44,0.037762453693638245,0.28220480004277904,3.20,3,left,thy1,26,C7,led8,2
45,0.06426771717957229,0.36710853585558395,3.30,1,left,thy1,26,C7,led8,2
46,0.06967055017668318,0.3931939244479932,3.30,2,left,thy1,26,C7,led8,2
47,0.05968810860457444,0.3205415658119036,3.30,3,left,thy1,26,C7,led8,2
48,0.03565828040776555,0.010623608523787194,2.60,1,left,thy1,26,C7,led8,3
49,0.0450829317148862,0.005732411801286458,2.60,2,left,thy1,26,C7,led8,3
50,0.08077067039711273,0.0089528591974848,2.60,3,left,thy1,26,C7,led8,3
51,0.07800405203481597,0.007963240961650936,2.70,1,left,thy1,26,C7,led8,3
52,0.06061557204579099,0.004296417862472106,2.70,2,left,thy1,26,C7,led8,3
53,0.11189108507632346,0.004776709993311883,2.70,3,left,thy1,26,C7,led8,3
54,0.2209901614578192,0.053558109460699915,2.80,1,left,thy1,26,C7,led8,3
55,0.11328862450480474,0.011083212509650381,2.80,2,left,thy1,26,C7,led8,3
56,0.11898195100289927,0.02965264869040134,2.80,3,left,thy1,26,C7,led8,3
57,0.04869751248247582,0.11382355341795661,2.90,1,left,thy1,26,C7,led8,3
58,0.07921944074875417,0.05758287343795241,2.90,2,left,thy1,26,C7,led8,3
59,0.08823579475852017,0.059361036533495094,2.90,3,left,thy1,26,C7,led8,3
60,0.1919821932326845,0.13807225091748937,3.00,1,left,thy1,26,C7,led8,3
61,0.13394042611484752,0.14018036904012307,3.00,2,left,thy1,26,C7,led8,3
62,0.14024881171642503,0.1537917117837281,3.00,3,left,thy1,26,C7,led8,3
63,0.20681233063125906,0.2684395404572839,3.10,1,left,thy1,26,C7,led8,3
64,0.2196321860797107,0.19263077252133404,3.10,2,left,thy1,26,C7,led8,3
65,0.22425262737121443,0.17633712588275027,3.10,3,left,thy1,26,C7,led8,3
66,0.3175606399637394,0.3021464464587122,3.20,1,left,thy1,26,C7,led8,3
67,0.300786726417581,0.3018608461035301,3.20,2,left,thy1,26,C7,led8,3
68,0.3070729435130943,0.295794627095128,3.20,3,left,thy1,26,C7,led8,3
69,0.3758245923947996,0.31381696324353875,3.30,1,left,thy1,26,C7,led8,3
70,0.37729064192680845,0.31717525739646096,3.30,2,left,thy1,26,C7,led8,3
71,0.37047275641734745,0.32047897271802456,3.30,3,left,thy1,26,C7,led8,3
72,0.13739295825112122,0.00594082698761985,2.60,1,left,thy1,26,C7,led1,2
73,0.13592128803351178,0.005104442155371423,2.60,2,left,thy1,26,C7,led1,2
74,0.1335125361634783,0.005982004609098386,2.60,3,left,thy1,26,C7,led1,2
75,0.1234290490068132,0.34009033303252867,2.70,1,left,thy1,26,C7,led1,2
76,0.12305138217585596,0.3149166603318381,2.70,2,left,thy1,26,C7,led1,2
77,0.09905758554358111,0.289499242331196,2.70,3,left,thy1,26,C7,led1,2
78,0.1889378581282965,0.6210653656764444,2.80,1,left,thy1,26,C7,led1,2
79,0.13334258983516778,0.5250440741497878,2.80,2,left,thy1,26,C7,led1,2
80,0.17043987560015286,0.5130596104218935,2.80,3,left,thy1,26,C7,led1,2
81,0.45107306157340044,0.9830688083381954,2.90,1,left,thy1,26,C7,led1,2
82,0.21021525145083467,0.7441268201111729,2.90,2,left,thy1,26,C7,led1,2
83,0.1581467342563118,0.735855971036058,2.90,3,left,thy1,26,C7,led1,2
84,0.6111220744428534,1.1865189854295928,3.00,1,left,thy1,26,C7,led1,2
85,0.6533505712203403,1.0398317799024945,3.00,2,left,thy1,26,C7,led1,2
86,0.5555435634818794,0.9547998476166537,3.00,3,left,thy1,26,C7,led1,2
87,0.42720227756237206,1.2974725609817053,3.10,1,left,thy1,26,C7,led1,2
88,0.4302955673367721,1.056617446818868,3.10,2,left,thy1,26,C7,led1,2
89,0.4490618798178099,1.0883619638912418,3.10,3,left,thy1,26,C7,led1,2
90,0.6887132923207535,1.3238617075179766,3.20,1,left,thy1,26,C7,led1,2
91,0.6660424693566281,1.2619353275882759,3.20,2,left,thy1,26,C7,led1,2
92,0.6612540334291139,1.2059057871926049,3.20,3,left,thy1,26,C7,led1,2
93,0.8290750710224136,1.4022766500368256,3.30,1,left,thy1,26,C7,led1,2
94,0.46337353740298504,1.2823311906727342,3.30,2,left,thy1,26,C7,led1,2
95,0.4528117860298068,1.2982337955672785,3.30,3,left,thy1,26,C7,led1,2
96,0.04566171002238123,0.00889829423167442,2.60,1,left,thy1,26,C7,led1,3
97,0.04149756459896091,0.006099471704487976,2.60,2,left,thy1,26,C7,led1,3
98,0.022254560459276578,0.00763588450923052,2.60,3,left,thy1,26,C7,led1,3
99,0.2790545662051197,0.2869157708638818,2.70,1,left,thy1,26,C7,led1,3
100,0.30117433366344404,0.26881754683176295,2.70,2,left,thy1,26,C7,led1,3
101,0.23413487520458745,0.27152001345143717,2.70,3,left,thy1,26,C7,led1,3
102,0.36966683114226184,0.4135135299659835,2.80,1,left,thy1,26,C7,led1,3
103,0.41991692452987006,0.3354721731935055,2.80,2,left,thy1,26,C7,led1,3
104,0.30936658239614456,0.3299496563472269,2.80,3,left,thy1,26,C7,led1,3
105,1.2301163710512963,0.5627980844349104,2.90,1,left,thy1,26,C7,led1,3
106,0.5742891813514583,0.4629256283564386,2.90,2,left,thy1,26,C7,led1,3
107,0.4133157236721012,0.4551980657371326,2.90,3,left,thy1,26,C7,led1,3
108,1.4396227249485816,0.6531211166069993,3.00,1,left,thy1,26,C7,led1,3
109,1.1308203893304882,0.5729234733081865,3.00,2,left,thy1,26,C7,led1,3
110,0.9734952520320981,0.5576313385254899,3.00,3,left,thy1,26,C7,led1,3
111,1.7252217383103858,0.7928560030797251,3.10,1,left,thy1,26,C7,led1,3
112,1.2482049202952583,0.5794410411504332,3.10,2,left,thy1,26,C7,led1,3
113,1.3017781027156294,0.5709164303003087,3.10,3,left,thy1,26,C7,led1,3
114,2.5290070881434707,0.8354475489783486,3.20,1,left,thy1,26,C7,led1,3
115,1.6807590889243704,0.6796451913247104,3.20,2,left,thy1,26,C7,led1,3
116,1.5768458964363994,0.6703488001731258,3.20,3,left,thy1,26,C7,led1,3
117,2.845174194421195,0.9092721165635065,3.30,1,left,thy1,26,C7,led1,3
118,1.8426855767681543,0.7644950916336728,3.30,2,left,thy1,26,C7,led1,3
119,1.8169622262367067,0.7739813120870546,3.30,3,left,thy1,26,C7,led1,3
120,0.1345883613860753,0.01872499895643251,2.60,1,left,thy1,26,C7,led3,1
121,0.09033664189377937,0.01987329509636378,2.60,2,left,thy1,26,C7,led3,1
122,0.10671715188590734,0.016248958204155048,2.60,3,left,thy1,26,C7,led3,1
123,0.09836192249198838,0.28061044320516787,2.70,1,left,thy1,26,C7,led3,1
124,0.1413662554821203,0.26430765017202434,2.70,2,left,thy1,26,C7,led3,1
125,0.1216511885658814,0.18811779930313097,2.70,3,left,thy1,26,C7,led3,1
126,0.09884182679809353,0.8371977097512787,2.80,1,left,thy1,26,C7,led3,1
127,0.15013257345175485,0.6119741728874845,2.80,2,left,thy1,26,C7,led3,1
128,0.15055106587152062,0.7574027820976649,2.80,3,left,thy1,26,C7,led3,1
129,0.21871762671037603,1.7283992728909365,2.90,1,left,thy1,26,C7,led3,1
130,0.22758281611344924,1.0596140418797022,2.90,2,left,thy1,26,C7,led3,1
131,0.263758439699898,1.052108170770987,2.90,3,left,thy1,26,C7,led3,1
132,0.4385048085308946,2.102773048598441,3.00,1,left,thy1,26,C7,led3,1
133,0.32742479899019944,1.6563287457242792,3.00,2,left,thy1,26,C7,led3,1
134,0.296462037434776,1.621678291581694,3.00,3,left,thy1,26,C7,led3,1
