交易号,商家订单号,交易创建时间,付款时间,最近修改时间,交易来源地,类型,交易对方,商品名称,金额,收/支,交易状态,服务费,成功退款,备注,资金状态
"2019071722001437811052454977	","JLCPay20190717005680	",2019/7/17 14:50,2019/7/17 14:50,2019/10/18 14:50,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市嘉立创科技发展有限公司  ,498940A             ,5,支出      ,交易成功    ,0,0,                    ,已支出      
"2019070822001137811050638799	","T200P522159457554781724	",2019/7/8 23:12,2019/7/8 23:12,2019/7/19 10:04,淘宝        ,支付宝担保交易         ,深圳市极承科技有限公司     ,0805贴片电容1/2.2/4.7/10/22/47UF 105 225 475 106 16/25/50V,7.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2019082422001437810579548193	","JLCPay20190824005420	",2019/8/24 16:00,2019/8/24 16:00,2019/8/24 16:00,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市嘉立创科技发展有限公司  ,498940A             ,8,支出      ,交易成功    ,0,0,                    ,已支出      
"2019061122001437811046044229	","JLCPay20190611009132	",2019/6/11 17:15,2019/6/11 17:15,2019/9/12 17:15,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市嘉立创科技发展有限公司  ,498940A             ,8,支出      ,交易成功    ,0,0,                    ,已支出      
"2019060722001437811045048170	","JLCPay20190607001017	",2019/6/7 18:14,2019/6/7 18:15,2019/9/8 18:15,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市嘉立创科技发展有限公司  ,498940A             ,8,支出      ,交易成功    ,0,0,                    ,已支出      
"2019053122001437811042966662	","JLCPay20190531011731	",2019/5/31 22:34,2019/5/31 22:35,2019/9/1 22:35,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市嘉立创科技发展有限公司  ,498940A             ,8,支出      ,交易成功    ,0,0,                    ,已支出      
"2019053122001437811042705054	","JLCPay20190531003808	",2019/5/31 12:53,2019/5/31 12:53,2019/9/1 12:53,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市嘉立创科技发展有限公司  ,498940A             ,8,支出      ,交易成功    ,0,0,                    ,已支出      
"2019092222001137810547226277	","T200P634144259924781724	",2019/9/22 14:02,2019/9/22 14:02,2019/10/2 15:10,淘宝        ,支付宝担保交易         ,内涵居家日用旗舰店       ,电线收纳电脑电源整理扣充电数据线固定器捆扎束集绕理线带魔术贴,8.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2019030622001137811021981056	","T200P368003361727781724	",2019/3/6 12:53,2019/3/6 12:53,2019/3/16 19:16,淘宝        ,支付宝担保交易         ,圣狄豹旗舰店          ,圣狄豹 电子元器件 BOM配单 电阻电容 二三极管 集成电路 接插件,12,支出      ,交易成功    ,0,0,                    ,已支出      
"2019101622001137815704480607	","T200P667047489425781724	",2019/10/16 15:36,2019/10/16 15:36,2019/10/26 19:20,淘宝        ,支付宝担保交易         ,lwen_bin        ,单排母座 2.54mm间距 1*40P 圆孔塑高7MM 排针插座 排母,15,支出      ,交易成功    ,0,0,                    ,已支出      
