0.000000000000000000e+00,4.080000000000000000e+02,4.090000000000000000e+02
1.000000000000000000e+00,5.950000000000000000e+02,6.410000000000000000e+02
2.000000000000000000e+00,7.100000000000000000e+02,7.630000000000000000e+02
3.000000000000000000e+00,8.340000000000000000e+02,8.620000000000000000e+02
4.000000000000000000e+00,9.260000000000000000e+02,9.540000000000000000e+02
5.000000000000000000e+00,1.001000000000000000e+03,1.014000000000000000e+03
6.000000000000000000e+00,1.062000000000000000e+03,1.149000000000000000e+03
7.000000000000000000e+00,1.207000000000000000e+03,1.228000000000000000e+03
8.000000000000000000e+00,1.283000000000000000e+03,1.301000000000000000e+03
9.000000000000000000e+00,1.330000000000000000e+03,1.382000000000000000e+03
1.000000000000000000e+01,1.472000000000000000e+03,1.611000000000000000e+03
1.100000000000000000e+01,1.731000000000000000e+03,1.747000000000000000e+03
1.200000000000000000e+01,1.815000000000000000e+03,1.909000000000000000e+03
1.300000000000000000e+01,1.986000000000000000e+03,2.025000000000000000e+03
1.400000000000000000e+01,2.068000000000000000e+03,2.140000000000000000e+03
1.500000000000000000e+01,2.221000000000000000e+03,2.281000000000000000e+03
1.600000000000000000e+01,2.328000000000000000e+03,2.375000000000000000e+03
1.700000000000000000e+01,2.503000000000000000e+03,2.621000000000000000e+03
1.800000000000000000e+01,2.743000000000000000e+03,2.761000000000000000e+03
1.900000000000000000e+01,2.842000000000000000e+03,2.889000000000000000e+03
2.000000000000000000e+01,2.939000000000000000e+03,2.957000000000000000e+03
2.100000000000000000e+01,2.996000000000000000e+03,3.128000000000000000e+03
2.200000000000000000e+01,3.170000000000000000e+03,3.196000000000000000e+03
2.300000000000000000e+01,3.272000000000000000e+03,3.288000000000000000e+03
2.400000000000000000e+01,3.334000000000000000e+03,3.435000000000000000e+03
2.500000000000000000e+01,3.473000000000000000e+03,3.639000000000000000e+03
2.600000000000000000e+01,3.739000000000000000e+03,3.759000000000000000e+03
2.700000000000000000e+01,3.843000000000000000e+03,3.880000000000000000e+03
2.800000000000000000e+01,3.975000000000000000e+03,3.996000000000000000e+03
2.900000000000000000e+01,4.054000000000000000e+03,4.067000000000000000e+03
3.000000000000000000e+01,4.093000000000000000e+03,4.127000000000000000e+03
3.100000000000000000e+01,4.236000000000000000e+03,4.366000000000000000e+03
3.200000000000000000e+01,4.592000000000000000e+03,4.615000000000000000e+03
3.300000000000000000e+01,4.750000000000000000e+03,4.787000000000000000e+03
3.400000000000000000e+01,4.842000000000000000e+03,4.860000000000000000e+03
3.500000000000000000e+01,5.055000000000000000e+03,5.075000000000000000e+03
3.600000000000000000e+01,5.110000000000000000e+03,5.110000000000000000e+03
3.700000000000000000e+01,5.343000000000000000e+03,5.406000000000000000e+03
3.800000000000000000e+01,5.561000000000000000e+03,5.565000000000000000e+03
3.900000000000000000e+01,5.596000000000000000e+03,5.598000000000000000e+03
4.000000000000000000e+01,6.108000000000000000e+03,6.108000000000000000e+03
4.100000000000000000e+01,6.279000000000000000e+03,6.308000000000000000e+03
